field,title,imagelink,text,keyword
3,An Automated Marker-less Registration Approach Using Neural Radiance Fields for Potential Use in Mixed Reality-based Computer-Aided Surgical Navigation of Paranasal Sinus,Computers2024-Registration.png,"This research focuses on an automated marker-less registration method for Paranasal Sinus Surgery Navigation (CSN). The core technology is Neural Radiance Field (NeRF), which is leveraged alongside a Mixed Reality Head-Mounted Display (MR-HMD) to provide essential depth information. This NeRF-based approach resolves insufficient depth issues found in previous methods, resulting in an enhanced registration accuracy of at least 0.873 mm (12%) compared to current techniques.","NeRF, Marker-less Registration, Surgical Navigation"
2,SparseVoxNet: 3D Object Recognition with Sparsely Aggregation of 3D Dense Blocks,TNNLS2022-PointCloud.png,"The focus of this research is on 3D object recognition using volumetric data, aiming to overcome the drawbacks of detail loss and large model sizes in existing 3D CNN methods. The solution is a novel combination of three compact CNN models, a low-cost SparseNet, and a feature representation technique incorporating estimated surface normal and curvature. This method maintains accuracy comparable to the state-of-the-art while significantly improving training speed, providing an efficient and flexible recognition network.","3D Object Recognition, Volumetric Data, SparseNet"
1,A Generative Adversarial Network for Upsampling of Direct Volume Rendering Images,CGF2024-GANDVRUpSamping.png,"This study addresses the high computational cost of producing high-quality Direct Volume Rendering (DVR) images at high frame rates. The proposed solution is dvrGAN, a deep learning method leveraging a conditional Generative Adversarial Network (cGAN) to upsample DVR images generated with a reduced sampling rate. dvrGAN utilizes a novel color-based loss function optimized for DVR to emphasize structural differences (e.g., bone, tissue) and maintain detail, achieving comparable visual quality to fully sampled methods while significantly reducing computation time.","DVR, GAN, Medical Visualization"
2,Egdnet: An Efficient Glomerular Detection Network for Multiple Anomalous Pathological Feature in Glomerulonephritis,TVCJ2024-EGDNet.png,"This study addresses the challenge of automatic and accurate detection of Pathological Glomerular Features (PGF), which is essential for the efficient diagnosis of Glomerulonephritis (GN). The core contribution is the Efficient Glomerular Detection Network (EGDNet), the first network designed for the detection of seven distinct PGF types. EGDNet employs four dedicated modules to handle issues like data imbalance and structural variability, achieving superior accuracy of 91.2% to 94.9% across small, medium, and large features, outperforming state-of-the-art detection methods.","Glomerulonephritis, Deep Learning Detection"
1,Attention-driven Visual Emphasis for Medical Volumetric Image Visualization,TVCJ2024-AttentionVis.png,"An attention-driven visual emphasis method is developed for Direct Volume Rendering (DVR) of volumetric medical images, focusing on the automatic highlight of occluded regions of interest (ROIs). The central element is the Focused-Class Attention Map (F-CAM), a deep learning attention model trained using only image-wise labels to localize ROIs and estimate their importance. This F-CAM effectively transfers semantic information to locate small ROIs and integrates with the DVR pipeline via an attention compositing module, successfully automating view-dependent visual emphasis.","DVR, Attention, Visual Emphasis"
1,MISNeR: Medical Implicit Shape Neural Representation for Image Volume Visualisation,CGF2024-MISNER.png,"High-quality 3D mesh reconstruction from medical images is crucial for applications like surgical planning, but conventional methods suffer from staircase artifacts due to anisotropic voxels. This study addresses these limitations by introducing a multi-level deep learning network that directly regresses an implicit function from volumetric data to a continuous surface model. Key components include a multi-level local feature sampling method and a shape boundary estimator that accelerates explicit mesh reconstruction. This approach minimizes staircase artifacts while achieving comparable surface accuracy to state-of-the-art segmentation algorithms and operates up to 9 times faster than similar implicit shape networks.","3D Mesh Reconstruction, Implicit Fusion"
3,Real-Time Transfer Function Editor for Direct Volume Rendering in Mixed Reality,SIGGRAPHASIA2024-MRTFEditor.png,"This work focuses on enhancing the customization and interactivity of Direct Volume Rendering (DVR) within Mixed Reality (MR) environments. While DVR offers immersive volumetric data visualization, the adjustment of transfer functions (TFs) has historically been limited in MR settings. The solution is the introduction of a novel system featuring an interactive TF editor that allows users to intuitively adjust the optical properties of volumetric data in real time. Immediate visual feedback is achieved by converting the user-defined 1D TF into a 2D texture, which is applied via a DVR Unity shader, enabling real-time customization of visualization.","DVR, MR, TF Editor"
1,The Adaption of Recent New Concepts in Neural Radiance Fields and Their Role for High-Fidelity Volume Reconstruction in Medical Images,Sensors2024-NeRF.png,"The direct application of Neural Radiance Fields (NeRF) to medical volume reconstruction faces unique challenges despite its success in natural images. This study evaluates various NeRF techniques, including different sampling strategies, feature encoding, and complementary feature use, for their practical applicability within the medical domain. By testing three state-of-the-art NeRF methods on four diverse medical image datasets, the research systematically identifies the strengths and limitations of integrating this technology. The findings establish a clear foundation and future directions for adapting implicit volume modeling to complex medical structural information.","NeRF, Medical Volume Reconstruction"
3,Effort-Aware Fault-Proneness Prediction Using Non-API-Based Package-Modularization Metrics,Mathematics2024-SoftwareFault.png,"This research investigates the utility of non-API-based package-modularization metrics for predicting fault-proneness in legacy object-oriented software. While these metrics characterize package organization regarding encapsulation and maintainability, their practical application for cost-effective prediction is examined here. The study employs correlation analysis and multivariate logistic regression with effort-aware performance indicators. Experimental analysis across open-source Java systems provides statistical evidence that these metrics are effective for fault-proneness prediction and offer better explanatory power than traditional metrics, guiding the development of reliable package-based software design.","Fault-Proneness Prediction, Object-oriented Softward"
1,Importance-aware 3D Volume Visualization for Medical Content-based Image Retrieval-a Preliminary Study,VRIH2024-RetrievalVis.png,"Medical Content-Based Image Retrieval (CBIR) systems currently rely on time-consuming 2D visualization of volumetric data, forcing users to mentally reconstruct 3D similarity. This study addresses this limitation by proposing an importance-aware 3D volume visualization method integrated directly into a CBIR system. The method automatically optimizes rendering parameters to maximize the visibility of structures deemed important during the retrieval process. This approach complements traditional 2D views, streamlining relevance confirmation and analysis by providing immediate 3D context. Preliminary results on multimodal PET-CT images demonstrate the value of this 3D visualization for clinical use.","CBIR, Importance-aware Rendering"
